prov,urb_rur,mon,new_pt,relaps_rate,od_flag,szn_flag,sess_lag1,sess_lag2,sess_lag12,pred_demand
QC,U,2026-02-01,147,0,0,1,694,659,702,680.79
QC,U,2026-03-01,128,0,0,0,731,694,665,660.18
QC,U,2026-04-01,141,0,0,0,681,731,642,625.22
QC,U,2026-05-01,131,0,0,0,660,681,622,607.17
QC,U,2026-06-01,151,0,0,0,625,660,604,590.93
QC,U,2026-07-01,156,0,0,0,607,625,588,582.41
QC,U,2026-08-01,178,0,0,0,591,607,582,580.11
QC,U,2026-09-01,162,0,0,0,582,591,559,627.36
QC,U,2026-10-01,156,0,0,1,580,582,608,653.48
QC,U,2026-11-01,170,0,0,1,627,580,639,680.67
